OID_,Device_ID,Site_ID,Start_Date,latitude,longitude
0,24E144036037F663,1,2/26/2023 0:00:00,39.765740000000001,-75.786739999999995
1,248D9B026037EA5A,2,3/1/2023 0:00:00,39.757219999999997,-75.783839999999998
2,24F319016037E815,3,3/1/2023 0:00:00,39.752020000000002,-75.775379999999998
3,248D9B026037BA7F,4,3/1/2023 0:00:00,39.745890000000003,-75.773989999999998
4,24F319016037BA4C,5,3/1/2023 0:00:00,39.736429999999999,-75.764240000000001
5,24E144036037BB3D,6,3/1/2023 0:00:00,39.719569999999997,-75.762090000000001
6,24E144036037EAF3,7,3/1/2023 0:00:00,39.711930000000002,-75.759360000000001
7,24E144036037B942,8,3/1/2023 0:00:00,39.716310000000000,-75.760900000000007
8,24F31901603792E1,9,3/1/2023 0:00:00,39.724829999999997,-75.767619999999994
9,248D9B026037B98E,10,3/1/2023 0:00:00,39.729239999999997,-75.765630000000002
10,242A26046037BACC,11,3/1/2023 0:00:00,39.682369999999999,-75.741380000000007
11,24F319016037B9CC,12,3/1/2023 0:00:00,39.693330000000003,-75.759370000000004
12,24F319016037BAE5,13,3/1/2023 0:00:00,39.695979999999999,-75.755679999999998
13,248D9B026037E9B5,14,3/1/2023 0:00:00,39.689590000000003,-75.754909999999995
14,24F319016037E83B,15,3/1/2023 0:00:00,39.687820000000002,-75.749170000000007
15,24E144036037EC2F,16,3/1/2023 0:00:00,39.693890000000003,-75.762870000000007
16,242A26046037BB30,17,3/1/2023 0:00:00,39.669179999999997,-75.750500000000002
17,24E144036037B755,18,3/1/2023 0:00:00,39.673360000000002,-75.744370000000004
18,24E144036037E86D,19,3/1/2023 0:00:00,39.678730000000002,-75.742609999999999
19,24F319016037B91C,20,3/1/2023 0:00:00,39.671419999999998,-75.749949999999998
