"file_name","Start (s)","End (s)","Scientific name","Common name","Confidence","site","year","month","day","time","count"
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",165,168,"Thryothorus ludovicianus","Carolina Wren",0.4422,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",180,183,"Thryothorus ludovicianus","Carolina Wren",0.283,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",189,192,"Thryothorus ludovicianus","Carolina Wren",0.1779,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",195,198,"Thryothorus ludovicianus","Carolina Wren",0.1697,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",228,231,"Thryothorus ludovicianus","Carolina Wren",0.1443,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",246,249,"Thryothorus ludovicianus","Carolina Wren",0.2026,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",270,273,"Thryothorus ludovicianus","Carolina Wren",0.1659,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",339,342,"Thryothorus ludovicianus","Carolina Wren",0.2723,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",360,363,"Thryothorus ludovicianus","Carolina Wren",0.1785,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230301_060100.BirdNET.results.csv",444,447,"Thryothorus ludovicianus","Carolina Wren",0.1655,15,"2023",3,1,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230302_063130.BirdNET.results.csv",99,102,"Thryothorus ludovicianus","Carolina Wren",0.1974,15,"2023",3,2,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230302_063130.BirdNET.results.csv",489,492,"Thryothorus ludovicianus","Carolina Wren",0.1558,15,"2023",3,2,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230303_060100.BirdNET.results.csv",330,333,"Thryothorus ludovicianus","Carolina Wren",0.1963,15,"2023",3,3,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_055050.BirdNET.results.csv",525,528,"Thryothorus ludovicianus","Carolina Wren",0.2653,15,"2023",3,4,550,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_062120.BirdNET.results.csv",450,453,"Thryothorus ludovicianus","Carolina Wren",0.1304,15,"2023",3,4,621,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_062120.BirdNET.results.csv",513,516,"Thryothorus ludovicianus","Carolina Wren",0.1571,15,"2023",3,4,621,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_062120.BirdNET.results.csv",576,579,"Thryothorus ludovicianus","Carolina Wren",0.2418,15,"2023",3,4,621,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_063130.BirdNET.results.csv",156,159,"Thryothorus ludovicianus","Carolina Wren",0.4365,15,"2023",3,4,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_063130.BirdNET.results.csv",201,204,"Thryothorus ludovicianus","Carolina Wren",0.1472,15,"2023",3,4,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230304_063130.BirdNET.results.csv",237,240,"Thryothorus ludovicianus","Carolina Wren",0.328,15,"2023",3,4,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230305_063130.BirdNET.results.csv",219,222,"Thryothorus ludovicianus","Carolina Wren",0.147,15,"2023",3,5,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230305_063130.BirdNET.results.csv",258,261,"Thryothorus ludovicianus","Carolina Wren",0.2487,15,"2023",3,5,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230305_063130.BirdNET.results.csv",294,297,"Thryothorus ludovicianus","Carolina Wren",0.498,15,"2023",3,5,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230305_065150.BirdNET.results.csv",252,255,"Thryothorus ludovicianus","Carolina Wren",0.1466,15,"2023",3,5,651,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_055050.BirdNET.results.csv",273,276,"Thryothorus ludovicianus","Carolina Wren",0.3076,15,"2023",3,6,550,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_055050.BirdNET.results.csv",375,378,"Thryothorus ludovicianus","Carolina Wren",0.19,15,"2023",3,6,550,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_055050.BirdNET.results.csv",384,387,"Thryothorus ludovicianus","Carolina Wren",0.5019,15,"2023",3,6,550,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_061110.BirdNET.results.csv",9,12,"Thryothorus ludovicianus","Carolina Wren",0.1473,15,"2023",3,6,611,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_061110.BirdNET.results.csv",402,405,"Thryothorus ludovicianus","Carolina Wren",0.4405,15,"2023",3,6,611,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230306_065150.BirdNET.results.csv",435,438,"Thryothorus ludovicianus","Carolina Wren",0.2861,15,"2023",3,6,651,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230307_060100.BirdNET.results.csv",0,3,"Thryothorus ludovicianus","Carolina Wren",0.148,15,"2023",3,7,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230307_060100.BirdNET.results.csv",30,33,"Thryothorus ludovicianus","Carolina Wren",0.2022,15,"2023",3,7,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230307_061110.BirdNET.results.csv",72,75,"Thryothorus ludovicianus","Carolina Wren",0.1626,15,"2023",3,7,611,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_055050.BirdNET.results.csv",576,579,"Thryothorus ludovicianus","Carolina Wren",0.1375,15,"2023",3,8,550,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_060100.BirdNET.results.csv",18,21,"Thryothorus ludovicianus","Carolina Wren",0.2307,15,"2023",3,8,601,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",381,384,"Thryothorus ludovicianus","Carolina Wren",0.1973,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",396,399,"Thryothorus ludovicianus","Carolina Wren",0.4763,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",402,405,"Thryothorus ludovicianus","Carolina Wren",0.152,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",444,447,"Thryothorus ludovicianus","Carolina Wren",0.3736,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",453,456,"Thryothorus ludovicianus","Carolina Wren",0.4276,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",459,462,"Thryothorus ludovicianus","Carolina Wren",0.379,15,"2023",3,8,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site15/output/20230308_064140.BirdNET.results.csv",492,495,"Thryothorus ludovicianus","Carolina Wren",0.2218,15,"2023",3,8,641,1
