file_name,Start (s),End (s),Scientific name,Common name,Confidence,site,year,month,day,time,count
./output/20230303_062120.BirdNET.results.csv,234,237,Thryothorus ludovicianus,Carolina Wren,0.1468,2,2023,3,3,621,1
./output/20230303_062120.BirdNET.results.csv,240,243,Thryothorus ludovicianus,Carolina Wren,0.1393,2,2023,3,3,621,1
./output/20230303_062120.BirdNET.results.csv,270,273,Thryothorus ludovicianus,Carolina Wren,0.1755,2,2023,3,3,621,1
./output/20230303_062120.BirdNET.results.csv,285,288,Thryothorus ludovicianus,Carolina Wren,0.1325,2,2023,3,3,621,1
./output/20230308_063130.BirdNET.results.csv,111,114,Thryothorus ludovicianus,Carolina Wren,0.1407,2,2023,3,8,631,1
./output/20230310_063130.BirdNET.results.csv,525,528,Thryothorus ludovicianus,Carolina Wren,0.1339,2,2023,3,10,631,1
./output/20230310_065150.BirdNET.results.csv,132,135,Thryothorus ludovicianus,Carolina Wren,0.1593,2,2023,3,10,651,1
./output/20230310_065150.BirdNET.results.csv,177,180,Thryothorus ludovicianus,Carolina Wren,0.3454,2,2023,3,10,651,1
./output/20230310_065150.BirdNET.results.csv,183,186,Thryothorus ludovicianus,Carolina Wren,0.3239,2,2023,3,10,651,1
./output/20230310_065150.BirdNET.results.csv,213,216,Thryothorus ludovicianus,Carolina Wren,0.1384,2,2023,3,10,651,1
./output/20230311_064140.BirdNET.results.csv,540,543,Thryothorus ludovicianus,Carolina Wren,0.2498,2,2023,3,11,641,1
./output/20230311_064140.BirdNET.results.csv,549,552,Thryothorus ludovicianus,Carolina Wren,0.2848,2,2023,3,11,641,1
./output/20230317_061110.BirdNET.results.csv,504,507,Thryothorus ludovicianus,Carolina Wren,0.177,2,2023,3,17,611,1
./output/20230317_061110.BirdNET.results.csv,531,534,Thryothorus ludovicianus,Carolina Wren,0.1323,2,2023,3,17,611,1
./output/20230317_064140.BirdNET.results.csv,360,363,Thryothorus ludovicianus,Carolina Wren,0.1339,2,2023,3,17,641,1
./output/20230320_054040.BirdNET.results.csv,267,270,Thryothorus ludovicianus,Carolina Wren,0.1587,2,2023,3,20,540,1
./output/20230320_060100.BirdNET.results.csv,312,315,Thryothorus ludovicianus,Carolina Wren,0.1493,2,2023,3,20,601,1
./output/20230320_060100.BirdNET.results.csv,390,393,Thryothorus ludovicianus,Carolina Wren,0.2689,2,2023,3,20,601,1
./output/20230320_060100.BirdNET.results.csv,432,435,Thryothorus ludovicianus,Carolina Wren,0.3829,2,2023,3,20,601,1
./output/20230320_060100.BirdNET.results.csv,549,552,Thryothorus ludovicianus,Carolina Wren,0.1827,2,2023,3,20,601,1
./output/20230320_060100.BirdNET.results.csv,555,558,Thryothorus ludovicianus,Carolina Wren,0.257,2,2023,3,20,601,1
./output/20230320_061110.BirdNET.results.csv,6,9,Thryothorus ludovicianus,Carolina Wren,0.1793,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,12,15,Thryothorus ludovicianus,Carolina Wren,0.4365,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,90,93,Thryothorus ludovicianus,Carolina Wren,0.1524,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,153,156,Thryothorus ludovicianus,Carolina Wren,0.303,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,240,243,Thryothorus ludovicianus,Carolina Wren,0.1976,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,267,270,Thryothorus ludovicianus,Carolina Wren,0.1842,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,282,285,Thryothorus ludovicianus,Carolina Wren,0.2258,2,2023,3,20,611,1
./output/20230320_061110.BirdNET.results.csv,288,291,Thryothorus ludovicianus,Carolina Wren,0.1744,2,2023,3,20,611,1
