file_name,Start (s),End (s),Scientific name,Common name,Confidence,site,year,month,day,time,count
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230301_062120.BirdNET.results.csv,504,507,Thryothorus ludovicianus,Carolina Wren,0.3137,5,2023,3,1,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230301_062120.BirdNET.results.csv,519,522,Thryothorus ludovicianus,Carolina Wren,0.1996,5,2023,3,1,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_062120.BirdNET.results.csv,375,378,Thryothorus ludovicianus,Carolina Wren,0.2559,5,2023,3,2,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_062120.BirdNET.results.csv,387,390,Thryothorus ludovicianus,Carolina Wren,0.1364,5,2023,3,2,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_062120.BirdNET.results.csv,390,393,Thryothorus ludovicianus,Carolina Wren,0.2895,5,2023,3,2,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_062120.BirdNET.results.csv,399,402,Thryothorus ludovicianus,Carolina Wren,0.2074,5,2023,3,2,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_062120.BirdNET.results.csv,405,408,Thryothorus ludovicianus,Carolina Wren,0.3834,5,2023,3,2,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_063130.BirdNET.results.csv,399,402,Thryothorus ludovicianus,Carolina Wren,0.1531,5,2023,3,2,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_063130.BirdNET.results.csv,402,405,Thryothorus ludovicianus,Carolina Wren,0.2643,5,2023,3,2,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230302_064140.BirdNET.results.csv,375,378,Thryothorus ludovicianus,Carolina Wren,0.1536,5,2023,3,2,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_061110.BirdNET.results.csv,132,135,Thryothorus ludovicianus,Carolina Wren,0.1827,5,2023,3,3,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_061110.BirdNET.results.csv,291,294,Thryothorus ludovicianus,Carolina Wren,0.1513,5,2023,3,3,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_061110.BirdNET.results.csv,369,372,Thryothorus ludovicianus,Carolina Wren,0.1365,5,2023,3,3,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_061110.BirdNET.results.csv,381,384,Thryothorus ludovicianus,Carolina Wren,0.1949,5,2023,3,3,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_063130.BirdNET.results.csv,393,396,Thryothorus ludovicianus,Carolina Wren,0.1658,5,2023,3,3,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_064140.BirdNET.results.csv,426,429,Thryothorus ludovicianus,Carolina Wren,0.2478,5,2023,3,3,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_064140.BirdNET.results.csv,438,441,Thryothorus ludovicianus,Carolina Wren,0.2495,5,2023,3,3,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_064140.BirdNET.results.csv,516,519,Thryothorus ludovicianus,Carolina Wren,0.1315,5,2023,3,3,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230303_065150.BirdNET.results.csv,315,318,Thryothorus ludovicianus,Carolina Wren,0.2265,5,2023,3,3,651,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230304_062120.BirdNET.results.csv,180,183,Thryothorus ludovicianus,Carolina Wren,0.1542,5,2023,3,4,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230304_065150.BirdNET.results.csv,480,483,Thryothorus ludovicianus,Carolina Wren,0.2181,5,2023,3,4,651,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230305_062120.BirdNET.results.csv,519,522,Thryothorus ludovicianus,Carolina Wren,0.404,5,2023,3,5,621,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230305_064140.BirdNET.results.csv,213,216,Thryothorus ludovicianus,Carolina Wren,0.2365,5,2023,3,5,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230305_064140.BirdNET.results.csv,219,222,Thryothorus ludovicianus,Carolina Wren,0.3237,5,2023,3,5,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230305_064140.BirdNET.results.csv,234,237,Thryothorus ludovicianus,Carolina Wren,0.1898,5,2023,3,5,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230305_064140.BirdNET.results.csv,240,243,Thryothorus ludovicianus,Carolina Wren,0.2604,5,2023,3,5,641,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,102,105,Thryothorus ludovicianus,Carolina Wren,0.166,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,309,312,Thryothorus ludovicianus,Carolina Wren,0.9005,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,312,315,Thryothorus ludovicianus,Carolina Wren,0.7918,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,321,324,Thryothorus ludovicianus,Carolina Wren,0.6743,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,324,327,Thryothorus ludovicianus,Carolina Wren,0.5162,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,327,330,Thryothorus ludovicianus,Carolina Wren,0.8014,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,435,438,Thryothorus ludovicianus,Carolina Wren,0.1833,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,447,450,Thryothorus ludovicianus,Carolina Wren,0.1879,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,504,507,Thryothorus ludovicianus,Carolina Wren,0.211,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,507,510,Thryothorus ludovicianus,Carolina Wren,0.6935,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_061110.BirdNET.results.csv,510,513,Thryothorus ludovicianus,Carolina Wren,0.43,5,2023,3,7,611,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,195,198,Thryothorus ludovicianus,Carolina Wren,0.499,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,198,201,Thryothorus ludovicianus,Carolina Wren,0.203,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,204,207,Thryothorus ludovicianus,Carolina Wren,0.2981,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,213,216,Thryothorus ludovicianus,Carolina Wren,0.163,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,225,228,Thryothorus ludovicianus,Carolina Wren,0.5329,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,231,234,Thryothorus ludovicianus,Carolina Wren,0.3621,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,255,258,Thryothorus ludovicianus,Carolina Wren,0.1948,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_063130.BirdNET.results.csv,264,267,Thryothorus ludovicianus,Carolina Wren,0.7143,5,2023,3,7,631,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_065150.BirdNET.results.csv,303,306,Thryothorus ludovicianus,Carolina Wren,0.273,5,2023,3,7,651,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_065150.BirdNET.results.csv,321,324,Thryothorus ludovicianus,Carolina Wren,0.135,5,2023,3,7,651,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230307_065150.BirdNET.results.csv,330,333,Thryothorus ludovicianus,Carolina Wren,0.3614,5,2023,3,7,651,1
//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site05/output/20230308_060100.BirdNET.results.csv,408,411,Thryothorus ludovicianus,Carolina Wren,0.1643,5,2023,3,8,601,1
